"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.11.2023","58,57","56,79","58,74","56,05","11,33M","3,68%"
"01.10.2023","56,49","55,91","56,72","51,55","387,97M","0,91%"
"01.09.2023","55,98","60,00","60,13","55,62","310,42M","-6,43%"
"01.08.2023","59,83","62,09","62,58","59,81","204,58M","-3,39%"
"01.07.2023","61,93","60,20","63,26","58,84","256,31M","2,84%"
"01.06.2023","60,22","59,94","62,17","59,76","320,45M","0,94%"
"01.05.2023","59,66","64,15","64,69","59,37","295,75M","-7,00%"
"01.04.2023","64,15","62,30","64,99","61,86","213,35M","3,42%"
"01.03.2023","62,03","59,13","62,25","58,37","335,47M","4,23%"
"01.02.2023","59,51","61,14","61,58","58,88","265,89M","-2,95%"
"01.01.2023","61,32","63,56","63,72","59,40","260,74M","-3,60%"
"01.12.2022","63,61","63,61","64,70","62,33","245,99M","0,00%"
"01.11.2022","63,61","60,03","63,68","58,10","269,99M","6,28%"
"01.10.2022","59,85","56,36","60,91","54,01","325,96M","6,84%"
"01.09.2022","56,02","61,58","62,88","55,91","317,56M","-9,22%"
"01.08.2022","61,71","64,09","65,47","61,70","223,18M","-3,83%"
"01.07.2022","64,17","63,12","64,45","60,79","275,81M","2,00%"
"01.06.2022","62,91","63,42","63,77","58,25","353,20M","-0,74%"
"01.05.2022","63,38","65,28","66,38","59,66","459,88M","-1,90%"
"01.04.2022","64,61","62,33","67,20","61,72","319,60M","4,21%"
"01.03.2022","62,00","62,14","63,02","57,50","426,93M","-0,39%"
"01.02.2022","62,24","60,91","62,90","59,22","396,00M","2,02%"
"01.01.2022","61,01","58,82","61,45","58,38","407,92M","3,04%"
"01.12.2021","59,21","52,98","59,35","52,28","426,82M","12,89%"
"01.11.2021","52,45","56,39","57,16","52,44","286,68M","-6,95%"
"01.10.2021","56,37","52,78","56,47","52,40","331,81M","7,43%"
"01.09.2021","52,47","56,38","57,03","52,43","334,51M","-6,82%"
"01.08.2021","56,31","57,20","57,56","55,45","220,34M","-1,26%"
"01.07.2021","57,03","54,34","57,56","53,55","293,39M","5,40%"
"01.06.2021","54,11","55,34","56,48","53,72","305,86M","-2,13%"
"01.05.2021","55,29","54,27","55,71","53,61","309,91M","2,43%"
"01.04.2021","53,98","52,96","54,87","52,29","270,81M","2,41%"
"01.03.2021","52,71","49,44","53,94","49,40","452,19M","7,59%"
"01.02.2021","48,99","48,27","51,51","48,18","301,08M","1,74%"
"01.01.2021","48,15","54,27","54,63","48,11","457,22M","-12,20%"
"01.12.2020","54,84","52,14","54,93","51,63","303,49M","6,28%"
"01.11.2020","51,60","48,75","54,62","48,24","339,34M","7,37%"
